restaurant ID, menu ID, section ID, item ID, title, price, description
1,1,1,1,Exclusive interactive,$71.46,Quia cum consequatur quia eaque. Et animi id.
1,1,1,2,multi-byte Accountability,$638.59,Ea distinctio temporibus qui sed qui occaecati voluptatem nulla. Soluta et molestiae velit rerum qui delectus sint nihil voluptatibus.
1,1,1,3,Mobility Handcrafted Rubber Chips,$905.22,Dolorem itaque ipsum eum tempore harum voluptas aperiam sit. Est perspiciatis sit eum a ea impedit rerum placeat quidem.
1,1,1,4,Ergonomic,$911.21,In quae aliquid rerum aperiam. Ratione et ratione amet odit modi voluptas soluta.
1,1,1,5,Specialist,$368.18,Nihil blanditiis dicta consequatur aliquam alias sequi. Tempora at commodi libero quibusdam ducimus aut cupiditate.
1,1,2,1,protocol Pants,$588.71,Voluptatem eius reiciendis ipsum quaerat vel natus. Cupiditate dolorum voluptatem ipsum maxime odio beatae est amet.
1,1,2,2,Enhanced bypass,$41.72,Est voluptatem aut quia nulla. Architecto quia dolorem qui dolores.
1,1,2,3,Mexico synergies gold,$809.45,Veritatis possimus magnam minima corrupti nostrum quidem. Saepe non quibusdam ea voluptatem minima.
1,1,2,4,Chile,$554.00,Distinctio iure autem qui quo nihil sed nihil cupiditate. Magnam quisquam nobis est est labore.
1,1,2,5,Specialist,$662.86,Quas aliquam accusamus tenetur vel ab eum odit est. Rem dolorem enim necessitatibus temporibus earum.
1,1,3,1,open system,$428.84,Culpa suscipit ut sint optio nemo sit laborum voluptate exercitationem. Quo dolorem eum vitae.
1,1,3,2,Money Market Account Australia Functionality,$762.49,Eos ut rerum omnis ut porro consequatur perspiciatis et. Tenetur velit sapiente nobis nostrum molestiae rerum ut soluta nihil.
1,1,3,3,exploit,$92.39,Eos fuga eveniet natus. Aspernatur sint voluptas iure consequatur.
1,1,3,4,Programmable Plastic withdrawal,$106.70,Ut tenetur fugit vitae provident aperiam unde qui excepturi vitae. Aut dolores et unde odio inventore odio.
1,1,3,5,withdrawal Avon,$235.53,Tempora eligendi iure in dicta. Aperiam rerum nobis voluptates qui impedit iure.
1,1,4,1,cross-platform,$759.61,Molestias placeat consequatur ex aut placeat in laboriosam. Qui sunt qui aut qui aut.
1,1,4,2,Sleek Fresh Chips,$564.33,Corrupti neque saepe voluptate nobis consequatur qui rerum aut quis. Consectetur est atque fuga quos libero voluptatem sint.
1,1,4,3,Chicken e-tailers,$77.75,Deleniti non veritatis velit commodi libero nostrum quaerat reiciendis eligendi. Ex numquam nam praesentium rerum omnis optio ut fugiat.
1,1,4,4,silver,$737.62,Perspiciatis ipsum saepe tenetur voluptas cumque fugiat. Voluptatem inventore ea nam eum voluptate aut molestiae porro quos.
1,1,4,5,reintermediate Keyboard Denar,$748.44,Illo similique beatae ipsum aut dicta vel. Aut et repellat nisi aut quidem quod esse assumenda enim.
1,2,1,1,mint green Facilitator Courts,$710.20,Impedit magnam sit iste aut quis ut asperiores culpa harum. Quisquam provident odit illum occaecati exercitationem quo in adipisci.
1,2,1,2,solid state copying,$846.50,Error qui magnam repudiandae. Amet vel enim iusto aut molestiae.
1,2,1,3,Awesome protocol,$118.57,Vel autem error aliquam quo. Enim a quis magnam quibusdam.
1,2,1,4,card infrastructure connect,$482.05,Voluptatem laborum necessitatibus reprehenderit aut incidunt qui. At voluptas id sit quia.
1,2,1,5,indigo Human,$235.62,Occaecati maiores officiis veritatis pariatur placeat. Voluptas id omnis molestiae voluptas ea excepturi.
1,2,2,1,Seamless Intelligent Fresh Cheese,$347.24,Consequatur ipsa asperiores explicabo distinctio in dolores tempora quaerat. Quis quod deleniti aperiam ab commodi qui quia accusamus fugiat.
1,2,2,2,compressing Supervisor killer,$363.63,Ipsam vel exercitationem est dolorum. Voluptate hic distinctio quis.
1,2,2,3,hardware salmon Research,$729.00,Quibusdam mollitia voluptatem sed dolores. Ullam quas iusto adipisci.
1,2,2,4,quantifying e-markets,$930.30,Quo laborum enim aut harum atque maiores temporibus itaque sit. Dolorum modi in maxime delectus atque natus.
1,2,2,5,Ergonomic Soft Pizza Central Rubber,$654.98,Sed ut quaerat voluptas voluptas dolores corporis sit. Doloremque enim maxime ullam maxime repellendus nesciunt.
1,2,3,1,Baht composite Frozen,$466.16,Magnam ea qui. Quae quia deleniti est quae sed excepturi sint quo.
1,2,3,2,Fresh,$787.68,Magni porro qui. Quam id quae molestias dolorem rem assumenda possimus.
1,2,3,3,Consultant one-to-one Rustic Granite Salad,$432.93,Maiores ullam reprehenderit excepturi et modi officiis nisi provident. Ut culpa repudiandae eos numquam commodi.
1,2,3,4,Books Home Loan Account,$297.32,Sit enim qui nisi. Voluptatibus earum tenetur in est eveniet fuga excepturi.
1,2,3,5,Accounts maximize,$77.79,Atque sapiente tempora ratione exercitationem. Laborum architecto eligendi quas sit dolore nemo cupiditate.
1,2,4,1,back-end,$839.32,Nihil eligendi inventore et. Fuga aut ut.
1,2,4,2,copying,$202.81,Voluptates officiis ab doloribus provident inventore illo nihil mollitia. Et architecto ut pariatur sint qui dolor sapiente dicta nihil.
1,2,4,3,Generic Frozen Table Personal Loan Account,$182.12,Temporibus dolorum dolor nam itaque dolor aut eos earum odit. Quo eos non.
1,2,4,4,transmitting wireless,$327.14,Fugit quisquam quasi laborum sunt rerum assumenda molestiae. Facere et neque ut voluptatibus accusantium qui repellendus et excepturi.
